2015-11-08	137
2015-11-09	111
2015-11-10	130
2015-11-11	137
2015-11-12	141
2015-11-13	156
2015-11-14	178
2015-11-15	148
2015-11-16	128
2015-11-17	139
2015-11-18	145
2015-11-19	125
2015-11-20	177
2015-11-21	183
2015-11-22	141
2015-11-23	116
2015-11-24	141
2015-11-25	156
2015-11-26	92
2015-11-27	85
2015-11-28	151
2015-11-29	134
2015-11-30	112
2015-12-01	118
2015-12-02	142
2015-12-03	155
2015-12-04	158
2015-12-05	177
2015-12-06	145
2015-12-07	145
2015-12-08	138
2015-12-09	142
2015-12-10	156
2015-12-11	173
2015-12-12	198
2015-12-13	157
2015-12-14	127
2015-12-15	143
2015-12-16	159
2015-12-17	147
2015-12-18	165
2015-12-19	195
2015-12-20	174
2015-12-21	134
2015-12-22	113
2015-12-23	156
2015-12-24	125
2015-12-25	86
2015-12-26	101
2015-12-27	125
2015-12-28	114
2015-12-29	106
2015-12-30	139
2015-12-31	146
