2015-01-01,Long,4205
2015-01-01,Medium,2019
2015-01-01,Short,827
2015-01-02,Long,3796
2015-01-02,Medium,2093
2015-01-02,Short,741
2015-01-03,Long,3674
2015-01-03,Medium,2171
2015-01-03,Short,748
2015-01-04,Long,3052
2015-01-04,Medium,2018
2015-01-04,Short,734
2015-01-05,Long,3706
2015-01-05,Medium,2203
2015-01-05,Short,699
2015-01-06,Long,3901
2015-01-06,Medium,2682
2015-01-06,Short,759
2015-01-07,Long,4312
2015-01-07,Medium,2442
2015-01-07,Short,707
2015-01-08,Long,3429
2015-01-08,Medium,2607
2015-01-08,Short,738
2015-01-09,Long,3896
2015-01-09,Medium,2623
2015-01-09,Short,785
2015-01-10,Long,3464
2015-01-10,Medium,2025
2015-01-10,Short,763
2015-01-11,Long,3000
2015-01-11,Medium,1950
2015-01-11,Short,777
2015-01-12,Long,3804
2015-01-12,Medium,2373
2015-01-12,Short,783
2015-01-13,Long,3402
2015-01-13,Medium,2316
2015-01-13,Short,750
2015-01-14,Long,3977
2015-01-14,Medium,2248
2015-01-14,Short,761
2015-01-15,Long,4263
2015-01-15,Medium,2381
2015-01-15,Short,791
2015-01-16,Long,3433
2015-01-16,Medium,2561
2015-01-16,Short,785
2015-01-17,Long,3603
2015-01-17,Medium,2219
2015-01-17,Short,801
2015-01-18,Long,3494
2015-01-18,Medium,2337
2015-01-18,Short,771
2015-01-19,Long,5451
2015-01-19,Medium,2027
2015-01-19,Short,729
2015-01-20,Long,5272
2015-01-20,Medium,2301
2015-01-20,Short,757
2015-01-21,Long,5672
2015-01-21,Medium,2365
2015-01-21,Short,763
2015-01-22,Long,3551
2015-01-22,Medium,2258
2015-01-22,Short,762
2015-01-23,Long,5549
2015-01-23,Medium,2424
2015-01-23,Short,800
2015-01-24,Long,4110
2015-01-24,Medium,2122
2015-01-24,Short,782
2015-01-25,Long,3556
2015-01-25,Medium,2029
2015-01-25,Short,760
2015-01-26,Long,3989
2015-01-26,Medium,2514
2015-01-26,Short,846
2015-01-27,Long,6943
2015-01-27,Medium,2264
2015-01-27,Short,623
2015-01-28,Long,4368
2015-01-28,Medium,2374
2015-01-28,Short,761
2015-01-29,Long,4705
2015-01-29,Medium,2484
2015-01-29,Short,806
2015-01-30,Long,4607
2015-01-30,Medium,2372
2015-01-30,Short,810
2015-01-31,Long,3808
2015-01-31,Medium,2244
2015-01-31,Short,805
2015-02-01,Long,3388
2015-02-01,Medium,1982
2015-02-01,Short,764
2015-02-02,Long,4868
2015-02-02,Medium,2851
2015-02-02,Short,864
2015-02-03,Long,4775
2015-02-03,Medium,2631
2015-02-03,Short,875
2015-02-04,Long,4321
2015-02-04,Medium,2809
2015-02-04,Short,861
2015-02-05,Long,4369
2015-02-05,Medium,2572
2015-02-05,Short,794
2015-02-06,Long,3610
2015-02-06,Medium,2749
2015-02-06,Short,875
2015-02-07,Long,3656
2015-02-07,Medium,2150
2015-02-07,Short,840
2015-02-08,Long,3095
2015-02-08,Medium,1984
2015-02-08,Short,792
2015-02-09,Long,2937
2015-02-09,Medium,2282
2015-02-09,Short,739
2015-02-10,Long,4847
2015-02-10,Medium,2542
2015-02-10,Short,796
2015-02-11,Long,4409
2015-02-11,Medium,2789
2015-02-11,Short,843
2015-02-12,Long,4445
2015-02-12,Medium,2437
2015-02-12,Short,793
2015-02-13,Long,4193
2015-02-13,Medium,2770
2015-02-13,Short,894
2015-02-14,Long,3380
2015-02-14,Medium,2333
2015-02-14,Short,864
2015-02-15,Long,3209
2015-02-15,Medium,2003
2015-02-15,Short,757
2015-02-16,Long,3223
2015-02-16,Medium,2002
2015-02-16,Short,710
2015-02-17,Long,3616
2015-02-17,Medium,2310
2015-02-17,Short,759
2015-02-18,Long,4335
2015-02-18,Medium,2355
2015-02-18,Short,773
2015-02-19,Long,3861
2015-02-19,Medium,2279
2015-02-19,Short,755
2015-02-20,Long,4169
2015-02-20,Medium,2490
2015-02-20,Short,792
2015-02-21,Long,4615
2015-02-21,Medium,2325
2015-02-21,Short,865
2015-02-22,Long,3947
2015-02-22,Medium,2224
2015-02-22,Short,807
2015-02-23,Long,4763
2015-02-23,Medium,2368
2015-02-23,Short,799
2015-02-24,Long,4408
2015-02-24,Medium,2549
2015-02-24,Short,811
2015-02-25,Long,4480
2015-02-25,Medium,2545
2015-02-25,Short,823
2015-02-26,Long,4966
2015-02-26,Medium,2488
2015-02-26,Short,822
2015-02-27,Long,4725
2015-02-27,Medium,2631
2015-02-27,Short,860
2015-02-28,Long,3537
2015-02-28,Medium,2232
2015-02-28,Short,873
2015-03-01,Long,3736
2015-03-01,Medium,2571
2015-03-01,Short,857
2015-03-02,Long,3598
2015-03-02,Medium,2447
2015-03-02,Short,790
