VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,3/21/2015 3:42,3/21/2015 3:51,1,3.4,-73.96736908,40.76304626,1,N,-73.92635345,40.76341629,1,11.5,0.5,0.5,2.55,0,0.3,15.35
1,3/21/2015 3:42,3/21/2015 3:56,3,3.7,-73.99181366,40.72606277,1,N,-73.98260498,40.76726913,1,14,0.5,0.5,3,0,0.3,18.3
1,3/21/2015 3:42,3/21/2015 3:49,1,4.2,-73.9806366,40.72179794,1,N,-73.9533844,40.76745224,1,13,0.5,0.5,2.85,0,0.3,17.15
1,3/21/2015 3:42,3/21/2015 4:10,1,7,-74.00941467,40.73988342,1,N,-73.93023682,40.70101166,1,24,0.5,0.5,5.05,0,0.3,30.35
1,3/21/2015 3:42,3/21/2015 4:13,3,15.1,-73.98521423,40.76342392,3,N,-74.18186951,40.68774414,1,60,0.5,0,10,9.75,0.3,80.55
1,3/21/2015 3:42,3/21/2015 3:57,2,8.9,-73.98752594,40.72118378,1,N,-73.92139435,40.77335739,1,25.5,0.5,0.5,5.35,0,0.3,32.15
1,3/21/2015 3:42,3/21/2015 4:02,1,6,-73.9878006,40.7652359,1,N,-73.91467285,40.77542877,1,19.5,0.5,0.5,4.15,0,0.3,24.95
1,3/21/2015 3:42,3/21/2015 3:46,1,0.6,-73.98835754,40.72026825,1,N,-73.99410248,40.72276688,1,4.5,0.5,0.5,1,0,0.3,6.8
1,3/21/2015 3:42,3/21/2015 3:51,1,2.2,-73.92208862,40.7355423,1,N,-73.9171524,40.7612648,2,9.5,0.5,0.5,0,0,0.3,10.8
1,3/21/2015 3:42,3/21/2015 3:58,1,4.3,-73.98426819,40.75480652,1,N,-73.95675659,40.74773788,1,15.5,0.5,0.5,2,0.5,0.3,19.3
1,3/21/2015 3:42,3/21/2015 3:50,1,2.5,-73.98576355,40.72312546,1,N,-74.00218964,40.70914841,2,10,0.5,0.5,0,0,0.3,11.3
1,3/21/2015 3:42,3/21/2015 3:49,2,1.5,0,0,1,N,0,0,1,7,0.5,0.5,2.49,0,0.3,10.79
1,3/21/2015 3:42,3/21/2015 3:58,1,8.7,-73.98799133,40.72238922,1,N,-73.9083786,40.77080917,1,25.5,0.5,0.5,5.35,0,0.3,32.15
2,3/21/2015 0:12,3/21/2015 0:28,4,3.03,-73.99013519,40.74533844,1,N,-73.99160004,40.71747971,1,13,0.5,0.5,1.5,0,0.3,15.8
1,3/21/2015 8:53,3/21/2015 8:58,1,1.4,-73.971138,40.75812531,1,N,-73.96148682,40.77415466,1,6.5,0,0.5,1,0,0.3,8.3
1,3/21/2015 8:53,3/21/2015 8:57,1,0.7,-73.94235229,40.75416565,1,N,-73.95244598,40.74915695,2,5,0,0.5,0,0,0.3,5.8
1,3/21/2015 8:53,3/21/2015 9:16,2,9,-73.98516083,40.76290131,1,N,-73.87107849,40.77422333,2,28,0,0.5,0,0,0.3,28.8
1,3/21/2015 8:53,3/21/2015 9:03,1,1.4,-73.9770813,40.75175476,1,N,-74.00016022,40.75868988,1,9,0,0.5,1.95,0,0.3,11.75
1,3/21/2015 8:53,3/21/2015 9:12,2,9.6,-73.95547485,40.76832962,1,N,-73.86467743,40.77031326,1,27.5,0.5,0.5,8.53,5.33,0.3,42.66
1,3/21/2015 8:53,3/21/2015 9:11,1,9.2,-73.98846436,40.73868942,1,N,-73.8705368,40.77387238,1,27,0,0.5,6.6,5.33,0.3,39.73
1,3/21/2015 8:53,3/21/2015 8:57,1,1,-73.99056244,40.74093246,1,N,-74.00278473,40.73424149,1,5.5,0,0.5,1.25,0,0.3,7.55
1,3/21/2015 8:53,3/21/2015 8:55,1,1,-73.95378113,40.77901077,1,N,-73.94490814,40.79128265,1,5,0,0.5,1,0,0.3,6.8
1,3/21/2015 8:53,3/21/2015 8:54,2,0.4,-74.00003815,40.74213791,1,N,-73.99642181,40.74738312,1,3.5,0,0.5,0.85,0,0.3,5.15
1,3/21/2015 8:53,3/21/2015 9:13,1,4.9,-74.00684357,40.70479202,1,N,-73.98956299,40.76363373,1,18.5,0,0.5,3.85,0,0.3,23.15
1,3/21/2015 8:53,3/21/2015 9:28,1,17.3,-73.98703766,40.76031113,2,N,-73.78959656,40.64278412,2,52,0,0.5,0,5.33,0.3,58.13
1,3/21/2015 8:53,3/21/2015 9:16,1,11.7,-73.983284,40.76808548,1,N,-73.86487579,40.77038193,1,34,0,0.5,7,5.33,0.3,47.13
1,3/21/2015 8:53,3/21/2015 9:12,1,8.1,-73.95380402,40.82211685,1,N,-74.0049057,40.72145081,1,25,0,0.5,5.16,0,0.3,30.96
2,3/21/2015 0:12,3/21/2015 0:30,1,3.92,-73.99075317,40.75844574,1,N,-74.0118866,40.71382904,2,16.5,0.5,0.5,0,0,0.3,17.8
2,3/21/2015 0:12,3/21/2015 0:18,1,1.35,-73.9786377,40.75276947,1,N,-73.99948883,40.76227951,2,7,0.5,0.5,0,0,0.3,8.3
2,3/21/2015 0:12,3/21/2015 0:15,5,0.78,-73.96376801,40.79810333,1,N,-73.95449066,40.80233002,2,4.5,0.5,0.5,0,0,0.3,5.8
2,3/21/2015 0:12,3/21/2015 0:50,5,6.25,-73.99006653,40.72940826,1,N,-73.90666962,40.74525833,2,26.5,0.5,0.5,0,0,0.3,27.8
2,3/21/2015 0:12,3/21/2015 0:29,5,3.5,-73.98265839,40.77218628,1,N,-73.99501801,40.73169708,1,14.5,0.5,0.5,3.16,0,0.3,18.96
2,3/21/2015 0:12,3/21/2015 0:18,1,1.37,-73.95269775,40.78074265,1,N,-73.94591522,40.78209686,2,6,0.5,0.5,0,0,0.3,7.3
